stock_code,stock_abbr,company_name,report_count,min_report_year,max_report_year
000423,东阿阿胶,东阿阿胶股份有限公司,18,2022,2025
000538,云南白药,云南白药集团股份有限公司,23,2022,2025
000590,启迪药业,启迪药业集团股份公司,38,2022,2025
000650,仁和药业,仁和药业股份有限公司,18,2022,2025
000766,通化金马,通化金马药业集团股份有限公司,36,2022,2025
000790,华神科技,成都华神科技集团股份有限公司,36,2022,2025
000989,九芝堂,九芝堂股份有限公司,24,2022,2025
000999,华润三九,华润三九医药股份有限公司,54,2022,2025
002017,沃华医药,山东沃华医药科技股份有限公司,0,,
002082,万邦德,万邦德医药控股集团股份有限公司,36,2022,2025
002107,沃华医药,山东沃华医药科技股份有限公司,0,,
002166,莱茵生物,桂林莱茵生物科技股份有限公司,36,2022,2025
002198,嘉应制药,广东嘉应制药股份有限公司,36,2022,2025
002219,新里程,新里程健康科技集团股份有限公司,36,2022,2025
002275,桂林三金,桂林三金药业股份有限公司,38,2022,2025
002287,奇正藏药,西藏奇正藏药股份有限公司,40,2022,2025
002317,众生药业,广东众生药业股份有限公司,36,2022,2025
002349,精华制药,精华制药集团股份有限公司,18,2022,2025
002390,信邦制药,贵州信邦制药股份有限公司,36,2022,2025
002424,贵州百灵,贵州百灵企业集团制药股份有限公司,24,2022,2025
002566,益盛药业,吉林省集安益盛药业股份有限公司,36,2022,2025
002589,瑞康医药,瑞康医药集团股份有限公司,18,2022,2025
002603,以岭药业,石家庄以岭药业股份有限公司,36,2022,2025
002728,特一药业,特一药业集团股份有限公司,18,2022,2025
002737,葵花药业,葵花药业集团股份有限公司,18,2022,2025
002773,康弘药业,成都康弘药业集团股份有限公司,36,2022,2025
002864,盘龙药业,陕西盘龙药业集团股份有限公司,40,2022,2025
002873,新天药业,贵阳新天药业股份有限公司,36,2022,2025
002898,赛隆药业,赛隆药业集团股份有限公司,15,2022,2025
002907,华森制药,重庆华森制药股份有限公司,36,2022,2025
300026,红日药业,天津红日药业股份有限公司,36,2022,2025
300147,香雪制药,广州市香雪制药股份有限公司,24,2022,2024
300158,振东制药,山西振东制药股份有限公司,36,2022,2025
300181,佐力药业,浙江佐力药业股份有限公司,40,2022,2025
300391,长药控股,长江医药控股股份有限公司,28,2022,2024
300519,新光药业,浙江新光药业股份有限公司,42,2022,2025
300534,陇神戎发,甘肃陇神戎发药业股份有限公司,38,2022,2025
300869,康泰医学,康泰医学系统(秦皇岛)股份有限公司,36,2022,2025
300878,维康药业,浙江维康药业股份有限公司,38,2022,2025
301111,粤万年青,广东万年青制药股份有限公司,36,2022,2025
301331,恩威医药,恩威医药股份有限公司,18,2022,2025
600080,金花股份,金花企业(集团)股份有限公司,54,2022,2025
600085,同仁堂,北京同仁堂股份有限公司,36,2022,2025
600129,太极集团,重庆太极实业(集团)股份有限公司,36,2022,2025
600222,太龙药业,河南太龙药业股份有限公司,36,2022,2025
600252,中恒集团,广西梧州中恒集团股份有限公司,36,2022,2025
600285,羚锐制药,河南羚锐制药股份有限公司,36,2022,2025
600329,达仁堂,津药达仁堂集团股份有限公司,36,2022,2025
600332,白云山,广州白云山医药集团股份有限公司,36,2022,2025
600351,亚宝药业,亚宝药业集团股份有限公司,36,2022,2025
600422,昆药集团,昆药集团股份有限公司,36,2022,2025
600436,片仔癀,漳州片仔癀药业股份有限公司,36,2022,2025
600479,千金药业,株洲千金药业股份有限公司,36,2022,2025
600518,康美药业,康美药业股份有限公司,36,2022,2025
600535,天士力,天士力医药集团股份有限公司,36,2022,2025
600557,康缘药业,江苏康缘药业股份有限公司,36,2022,2025
600566,济川药业,湖北济川药业股份有限公司,34,2022,2025
600572,康恩贝,浙江康恩贝制药股份有限公司,36,2022,2025
600594,益佰制药,贵州益佰制药股份有限公司,36,2022,2025
600613,神奇制药,上海神奇制药投资管理股份有限公司,36,2022,2025
600671,天目药业,杭州天目山药业股份有限公司,36,2022,2025
600750,江中药业,江中药业股份有限公司,36,2022,2025
600771,广誉远,广誉远中药股份有限公司,36,2022,2025
600976,健民集团,健民药业集团股份有限公司,36,2022,2025
600993,马应龙,马应龙药业集团股份有限公司,36,2022,2025
603139,康惠制药,陕西康惠制药股份有限公司,36,2022,2025
603439,贵州三力,贵州三力制药股份有限公司,36,2022,2025
603567,珍宝岛,黑龙江珍宝岛药业股份有限公司,36,2022,2025
603858,步长制药,山东步长制药股份有限公司,36,2022,2025
603896,寿仙谷,浙江寿仙谷医药股份有限公司,36,2022,2025
603998,方盛制药,湖南方盛制药股份有限公司,36,2022,2025
